WKT,id,id2,sportpark,sportparkFunctioneleNaam,objecttype,objectsubtype,veldindeling,sportfunctie,jaarVanActiviteit,soortOndergrond,oppervlakte,omtrek
"MULTIPOLYGON (((4.85051322092222 52.3198892232303,4.84903672507096 52.3198481763563,4.84900658916968 52.3203533192163,4.85047500784949 52.3204016882093,4.85051322092222 52.3198892232303)))","28623",{8E574814-4FAE-47BD-8ED5-5C00ED058C9D},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-AMSTER-09,Hockey,0,Gras,5695.11611,314.35804
"MULTIPOLYGON (((4.93753288827725 52.3159315785852,4.9377460388821 52.3160044459692,4.93786641058803 52.3158714256336,4.93788508328658 52.3158507886984,4.93800403014546 52.3157193626351,4.93778566858281 52.3156445548481,4.93778389101095 52.3156439455115,4.93753288827725 52.3159315785852)))","31139",{2A443E83-F14C-4B60-964B-BE9B03D556CE},Sportpark Strandvliet,Sportpark Strandvliet,Sportveld (verhard),Halfverharding,SPO-STRAND-05,Tennis,2015,Gravel,613.82196,106.40357
"MULTIPOLYGON (((5.00624570073946 52.3448279087045,5.00605065882101 52.3447251818507,5.00569711819247 52.3449765702818,5.00589074429108 52.3450788810331,5.00589099778661 52.3450790152698,5.00624570073946 52.3448279087045)))","39679",{B95833A1-464B-47E9-AEC4-523718385F1F},Sportpark IJburg Zandzeggestraat (Tennis Rieteiland),Sportpark IJburg Zandzeggestraat (Tennis Rieteiland),Sportveld (verhard),Halfverharding,SPO-RIET-07,Tennis,2011,Kunstgras — keramisch zand (smashcourt),645.87327,108.8378
"MULTIPOLYGON (((4.90913054821945 52.4147746967288,4.90888991068845 52.4148320184477,4.90908735235558 52.4151413603608,4.90930430175958 52.4150896310391,4.90932332173053 52.4150850926473,4.90913054821945 52.4147746967288)))","104553",{B18B2584-560B-4698-A23B-405A5125F93E},Sportpark Kadoelen,Sportpark Kadoelen 01,Sportveld (verhard),Kunststofverharding,SPN-KAD-18,Tennis,2013,Kunstgras — keramisch zand (smashcourt),642.88695,108.69346
"MULTIPOLYGON (((4.93248521089824 52.3393762423242,4.93231489995028 52.3394830860634,4.93270131742806 52.3397168439516,4.93287949299996 52.3396053841064,4.93248521089824 52.3393762423242)))","197553",{88764652-7BC3-4BEF-93E9-43F44836F3D0},Sportpark Drieburg,Sportpark Drieburg 02,Sportveld (verhard),Halfverharding,SPO-DRIE-22,Tennis,2014,Gravel,628.89353,108.02611
"MULTIPOLYGON (((4.9311247652245 52.3392289954889,4.9303889337116 52.3396818452595,4.93099500416664 52.3400491934614,4.93109770595494 52.3401119283174,4.93150376790529 52.3403608353082,4.93223789678604 52.3399065880063,4.9311247652245 52.3392289954889)))","229856",{CB792FE7-A9F1-4B66-AA6D-F736289C2873},Sportpark Drieburg,Sportpark Drieburg 02,Sportveld (verhard),Kunststofverharding,SPO-DRIE-10,Voetbal,2004,Kunstgras — rubber,7603.59807,356.30388
"MULTIPOLYGON (((5.01566982917032 52.3080370857549,5.01570023444642 52.3078711143955,5.01539371001533 52.3078513849407,5.01517336434406 52.3078381093225,5.01516808917725 52.3078674737226,5.01516327532008 52.3078942780614,5.01514409645606 52.3080011001925,5.01520494241672 52.3080069897842,5.01566982917032 52.3080370857549)))","230185",{EB7B2A4D-877F-4F82-B7EE-9697BA7B32C6},Sportpark Driemond,Sportpark Driemond,Sportveld (verhard),Halfverharding,SPO-DRIEM-06,Tennis,1980,Gravel,669.19283,109.02991
"MULTIPOLYGON (((4.87212691486678 52.4198634731825,4.87192319653553 52.4199596725103,4.87225369824754 52.4202215439224,4.87245624673245 52.4201258402319,4.87212691486678 52.4198634731825)))","240993",{CD43AA31-6064-474B-9B56-B65B6FA96C38},Sportpark Melkweg,Sportpark Melkweg,Sportveld (verhard),Halfverharding,SPN-MELK-05,Tennis,2011,Kunstgras — keramisch zand (smashcourt),642.64047,108.52743
"MULTIPOLYGON (((4.94296801476399 52.3473532613012,4.943286015312 52.3471824041387,4.94405886700901 52.3467011617992,4.9433621229771 52.3462887313517,4.94281221476959 52.3466289846612,4.94230092856859 52.3469493638415,4.94225774841843 52.3469759304992,4.94246353420361 52.3470968481105,4.94273317071232 52.3472554242251,4.94293494878164 52.3473740198983,4.94296801476399 52.3473532613012)))","248350",{088D64A2-79A1-4529-9633-C400C80A3F73},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 01,Sportveld (begroeid),Gras- en kruidachtigen,SPO-MIDD-01,Voetbal,2010,Gras,7047.61881,344.42892
"MULTIPOLYGON (((4.89124254576785 52.3183625895745,4.89120727232424 52.3174785087936,4.89035725372881 52.3174912278259,4.89039237937393 52.3183752094212,4.89124254576785 52.3183625895745)))","283899",{31DD2E02-0D96-41F8-920E-DB322F7B58BD},Sportpark 't Loopveld,Sportpark 't Loopveld 03,Sportveld (verhard),Kunststofverharding,SPZ-LOO-16,Hockey,2013,Kunstgras — zand,5704.74601,312.74233
